episode_num,timestep,episode_reward,episode_length,cumulative_reward,moving_avg_10,moving_avg_100,conditions_read,navigation_started,zones_reached,correct_zones,treatments_applied,episode_phases,final_distances,best_distances,policy_loss,value_loss,entropy,learning_rate,explained_variance,total_loss,loss_variance_window
1,40,-14.999999999999993,25,-14.999999999999993,-14.999999999999993,-14.999999999999993,False,False,False,False,False,UNKNOWN,0,0,0.00046902894973754883,18.035186767578125,3.091041326522827,0.0005,0.0,18.035655796527863,
2,60,-11.599999999999993,25,-26.599999999999987,-13.299999999999994,-13.299999999999994,False,False,False,False,False,UNKNOWN,0,0,-0.006200170610100031,11.544984817504883,3.0883336067199707,0.0005,0.18750286102294922,11.538784646894783,
3,80,-5.999999999999993,25,-32.59999999999998,-10.86666666666666,-10.86666666666666,False,False,False,False,False,UNKNOWN,0,0,0.01618962362408638,7.804863929748535,3.087239980697632,0.0005,-0.2813335657119751,7.8210535533726215,
4,100,0.31999999999999984,9,-32.27999999999998,-8.069999999999995,-8.069999999999995,False,False,False,False,False,UNKNOWN,0,0,-0.022535955533385277,3.1163926124572754,3.085875988006592,0.0005,-0.09888601303100586,3.09385665692389,17.81877313383869
5,120,-14.999999999999993,25,-47.27999999999997,-9.455999999999994,-9.455999999999994,False,False,False,False,False,UNKNOWN,0,0,0.022415030747652054,9.735773086547852,3.076603412628174,0.0005,0.25909698009490967,9.758188117295504,29.830594936650414
6,140,-5.040000000000001,17,-52.31999999999997,-8.719999999999995,-8.719999999999995,False,False,False,False,False,UNKNOWN,0,0,-0.05402970314025879,6.870014190673828,3.0794081687927246,0.0005,0.422416627407074,6.815984487533569,23.885692732032297
7,160,-12.499999999999993,25,-64.81999999999996,-9.259999999999994,-9.259999999999994,False,False,False,False,False,UNKNOWN,0,0,0.04322979599237442,7.136847019195557,3.0736162662506104,0.0005,0.4218617081642151,7.180076815187931,21.356920709484147
8,180,-4.229999999999999,24,-69.04999999999997,-8.631249999999994,-8.631249999999994,False,False,False,False,False,UNKNOWN,0,0,-0.050741247832775116,6.836026191711426,3.074490547180176,0.0005,-0.9446316957473755,6.785284943878651,18.97098657129653
9,200,-14.999999999999993,25,-84.04999999999995,-9.338888888888883,-9.338888888888883,False,False,False,False,False,UNKNOWN,0,0,-0.06828106939792633,15.739384651184082,3.067331075668335,0.0005,0.07489138841629028,15.671103581786156,17.22561502366455
10,240,-9.049999999999999,25,-93.09999999999995,-9.309999999999995,-9.309999999999995,False,False,False,False,False,UNKNOWN,0,0,0.015515590086579323,7.737393379211426,3.0675647258758545,0.0005,-0.7034080028533936,7.752908969298005,33.39446067476093
11,260,-8.159999999999997,23,-101.25999999999995,-8.625999999999994,-9.205454545454542,False,False,False,False,False,UNKNOWN,0,0,0.023105550557374954,8.335718154907227,3.0724663734436035,0.0005,0.22756260633468628,8.358823705464602,28.330803122671142
12,280,-9.699999999999992,25,-110.95999999999994,-8.435999999999996,-9.24666666666666,False,False,False,False,False,UNKNOWN,0,0,-0.09250327199697495,11.424221992492676,3.0605525970458984,0.0005,0.5241631865501404,11.3317187204957,28.210048726061597
13,300,-8.599999999999998,25,-119.55999999999993,-8.695999999999994,-9.196923076923072,False,False,False,False,False,UNKNOWN,0,0,-0.1357865035533905,2.0621631145477295,3.0343000888824463,0.0005,-0.6050384044647217,1.926376610994339,28.07026420950903
14,340,-10.049999999999997,25,-129.60999999999993,-9.732999999999995,-9.257857142857137,False,False,False,False,False,UNKNOWN,0,0,-0.12464401870965958,1.9381955862045288,3.049298048019409,0.0005,-0.15019214153289795,1.8135515674948692,30.012000481807366
15,360,-9.299999999999999,25,-138.90999999999994,-9.162999999999997,-9.260666666666662,False,False,False,False,False,UNKNOWN,0,0,-0.0861845463514328,5.00725793838501,2.990309715270996,0.0005,-0.5206056833267212,4.921073392033577,35.448309668526846
16,380,-10.999999999999993,25,-149.90999999999994,-9.758999999999995,-9.369374999999994,False,False,False,False,False,UNKNOWN,0,0,0.011353755369782448,8.024168014526367,2.9404492378234863,0.0005,0.31002241373062134,8.03552176989615,36.954968428552164
