Episode,Reward
1,16.9119
2,11.423693
3,12.000567
4,15.871194
5,13.555123
6,9.783382
7,-0.311483
8,-1.903111
9,24.992666
10,15.660016
11,9.5533
12,17.08828
13,21.671108
14,10.648111
15,25.401782
16,25.346802
17,26.762883
18,17.535216
19,12.411581
20,10.844583
21,12.498781
22,11.342564
23,11.107163
24,23.85748
25,7.37232
26,24.762357
27,8.966007
28,14.837768
29,5.688954
30,21.120981
31,11.07533
32,11.469256
33,10.230994
34,29.790171
35,12.329267
36,13.141401
37,10.895034
38,16.588352
39,27.311161
40,9.987228
41,17.780313
42,20.989265
43,13.897106
44,11.058366
45,-1.501982
46,6.777887
47,10.949038
48,33.699016
49,13.529774
50,8.972848
51,10.495733
52,17.414892
53,-0.398942
54,7.599762
55,10.5108
56,18.503469
57,2.575827
58,34.315159
59,26.467652
60,12.573976
61,-8.478212
62,19.127758
63,18.794392
64,10.530743
65,15.959383
66,18.414093
67,-2.184991
68,19.841756
69,36.899143
70,6.082818
71,17.684985
72,12.235805
73,9.201379
74,4.405853
75,27.516595
76,3.383584
77,12.2629
78,16.798446
79,11.861576
80,10.49166
81,24.77387
82,24.982471
83,4.412622
84,3.967398
85,10.563313
86,5.185192
87,1.521266
88,26.027904
89,1.717602
90,21.182358
91,-1.124831
92,17.367002
93,0.352334
94,10.656909
95,13.738765
96,-0.965262
97,7.308601
98,2.434575
99,20.843785
100,19.629379
101,-0.482338
102,8.301849
103,-2.000892
104,7.737685
105,27.859664
106,4.231845
107,12.812562
108,10.853609
109,2.782361
110,5.896441
111,38.061648
112,1.765763
113,-0.786905
114,-1.831479
115,12.977825
116,25.721218
117,0.480332
118,16.443061
119,1.251524
120,3.064223
121,11.542268
122,4.423116
123,25.001016
124,21.631058
125,25.775648
126,18.211266
127,23.211824
128,6.614917
129,8.539912
130,1.385738
131,14.916512
132,27.319218
133,17.691354
134,29.777452
135,30.863794
136,7.812099
137,9.375189
138,4.686315
139,14.177593
140,23.842613
141,37.667152
142,0.954697
143,45.041702
144,1.910539
