Episode,Reward
1,13.510229
2,12.72056
3,16.122596
4,18.839572
5,24.779772
6,-5.305805
7,13.801473
8,10.327264
9,11.049299
10,10.024733
11,17.508858
12,10.80985
13,-9.36234
14,18.053248
15,7.810661
16,14.391383
17,11.105268
18,13.198487
19,10.437912
20,10.8992
21,20.666511
22,12.003384
23,1.415392
24,10.925902
25,2.656835
26,8.980152
27,18.496563
28,7.745904
29,15.958273
30,3.970291
31,2.224822
32,16.876668
33,17.116732
34,11.735661
35,22.41019
36,40.130154
37,21.72153
38,12.230997
39,15.810809
40,29.385506
41,11.673143
42,11.148103
43,21.758401
44,-10.06638
45,37.140185
46,11.2876
47,22.502198
48,29.463691
49,11.036033
50,11.759869
51,11.777344
52,-3.33559
53,11.998573
54,18.300015
55,11.895859
56,23.000333
57,11.149687
58,18.674303
59,-7.753722
60,14.205441
61,16.0562
62,13.722712
63,30.716844
64,11.059048
65,20.547645
66,16.608209
67,-3.372984
68,4.445413
69,31.722808
70,-1.348323
71,17.664459
72,25.584788
73,27.255635
74,23.809871
75,12.776829
76,9.039587
77,3.225962
78,-12.242609
79,5.264086
80,15.069399
81,28.507058
82,10.8228
83,18.100988
84,-6.939116
85,10.196021
86,14.495125
87,-3.457052
88,12.655924
89,2.78738
90,26.989907
91,31.783457
92,10.211787
93,32.467525
94,13.968993
95,13.216442
96,30.240071
97,-3.450571
98,25.744603
99,-1.53879
100,29.33212
101,13.802006
102,13.684915
103,1.860501
104,-2.219768
105,36.624694
106,1.532005
107,32.734281
108,12.956254
109,-0.254162
110,28.923281
111,24.991996
112,3.347162
113,-0.719904
114,19.486824
115,-2.334013
116,7.014814
117,30.975408
118,29.569123
119,9.219286
120,24.768172
121,11.730596
122,9.268223
123,8.736106
124,0.105567
125,2.989715
126,25.160034
127,4.54542
128,27.127939
129,11.283144
130,14.008054
131,38.865397
132,29.198701
133,7.584932
134,4.233067
135,13.955573
136,1.75444
137,41.889788
138,21.996828
139,26.500204
140,11.358574
141,23.05722
142,31.35453
143,12.925256
144,29.42254
145,2.34385
146,17.939416
147,-3.832375
148,2.406693
149,15.53515
150,21.954912
151,37.531407
152,-2.597663
153,11.672223
154,3.026152
155,7.125121
156,9.183853
157,10.707088
158,-0.379538
159,20.082097
160,8.07535
161,26.407069
162,4.576838
163,1.484451
164,0.563639
165,2.332997
166,-0.389837
167,31.241023
168,12.537341
169,36.483172
170,16.482053
171,29.71962
172,1.224264
173,12.577348
174,23.107865
175,25.597526
176,9.235886
177,0.844469
178,19.973936
179,21.715417
180,18.512408
181,-0.502965
182,23.970953
183,21.417734
184,20.407204
185,9.22033
186,23.003569
187,1.36637
188,10.346842
189,-1.738752
190,8.653801
191,15.045112
192,4.02204
193,3.416861
194,11.035842
195,5.184412
196,28.276371
197,2.66622
198,26.806592
199,7.405574
200,24.476698
201,2.922617
202,4.418296
203,1.165179
204,28.613742
205,13.062114
206,25.765037
207,17.714641
208,24.227262
209,11.729279
