episode_num,timestep,episode_reward,episode_length,cumulative_reward,moving_avg_10,moving_avg_100,conditions_read,navigation_started,zones_reached,correct_zones,treatments_applied,episode_phases,final_distances,best_distances,loss,q_value_mean,exploration_rate,target_updates,loss_variance_window
1,28,-5.249999999999998,25,-5.249999999999998,-5.249999999999998,-5.249999999999998,True,True,True,True,False,TREAT,0,0,,,0.9997984,0.0,
2,52,-11.199999999999992,25,-16.44999999999999,-8.224999999999994,-8.224999999999994,True,True,False,False,False,NAVIGATE,3,1,,,0.9996256,0.0,
3,76,-11.049999999999995,25,-27.499999999999986,-9.166666666666663,-9.166666666666663,True,True,False,False,False,NAVIGATE,3,2,,,0.9994528,0.0,
4,100,-14.999999999999993,25,-42.49999999999998,-10.624999999999995,-10.624999999999995,False,False,False,False,False,ANALYZE,2,2,,,,,
5,128,-14.999999999999993,25,-57.49999999999997,-11.499999999999995,-11.499999999999995,False,False,False,False,False,ANALYZE,2,2,,,0.9990784,0.0,
6,152,-10.599999999999993,25,-68.09999999999997,-11.349999999999994,-11.349999999999994,True,True,False,False,False,NAVIGATE,2,1,,,0.9989056,0.0,
7,176,-11.599999999999996,25,-79.69999999999996,-11.38571428571428,-11.38571428571428,True,True,False,False,False,NAVIGATE,3,2,,,0.9987328,0.0,
8,200,-12.499999999999993,25,-92.19999999999996,-11.524999999999995,-11.524999999999995,True,False,False,False,False,NAVIGATE,1,1,,,,,
9,216,-3.4800000000000004,14,-95.67999999999996,-10.631111111111107,-10.631111111111107,True,True,True,False,False,TREAT,4,2,,,0.9984448,0.0,
10,240,-14.999999999999993,25,-110.67999999999995,-11.067999999999994,-11.067999999999994,False,False,False,False,False,ANALYZE,1,1,,,0.998272,0.0,
11,264,-14.999999999999993,25,-125.67999999999995,-12.042999999999996,-11.42545454545454,False,False,False,False,False,ANALYZE,2,2,,,0.9980992000000001,0.0,
12,292,-11.049999999999997,25,-136.72999999999996,-12.027999999999995,-11.394166666666663,True,True,False,False,False,NAVIGATE,3,2,,,0.9978976,0.0,
13,316,-14.999999999999993,25,-151.72999999999996,-12.422999999999993,-11.671538461538459,False,False,False,False,False,ANALYZE,2,2,,,0.9977248,0.0,
14,340,-10.799999999999997,25,-162.52999999999997,-12.002999999999997,-11.609285714285713,True,True,False,False,False,NAVIGATE,2,2,,,0.997552,0.0,
15,364,-9.299999999999999,25,-171.82999999999998,-11.432999999999996,-11.455333333333332,True,True,False,False,False,NAVIGATE,3,2,,,0.9973792,0.0,
16,392,-14.999999999999993,25,-186.82999999999998,-11.872999999999996,-11.676874999999995,False,False,False,False,False,ANALYZE,2,2,,,0.9971776,0.0,
17,412,-3.419999999999997,21,-190.24999999999997,-11.054999999999996,-11.19117647058823,True,True,True,True,False,TREAT,0,0,,,0.9970336000000001,0.0,
18,436,-9.599999999999998,25,-199.84999999999997,-10.764999999999997,-11.102777777777773,True,True,False,False,False,NAVIGATE,1,1,,,0.9968608000000001,0.0,
19,456,-2.859999999999998,18,-202.70999999999995,-10.702999999999996,-10.668947368421048,True,True,True,True,False,TREAT,0,0,,,0.9967168,0.0,
20,480,-8.279999999999998,24,-210.98999999999995,-10.030999999999995,-10.549499999999995,True,True,True,False,False,TREAT,4,1,,,0.996544,0.0,
21,504,-14.999999999999993,25,-225.98999999999995,-10.030999999999997,-10.761428571428567,False,False,False,False,False,ANALYZE,2,2,,,0.9963712,0.0,
22,528,-8.4,25,-234.38999999999996,-9.765999999999996,-10.654090909090904,True,True,False,False,False,NAVIGATE,1,1,,,0.9961984,0.0,
23,552,-14.999999999999993,25,-249.38999999999996,-9.765999999999996,-10.843043478260865,False,False,False,False,False,ANALYZE,2,2,,,0.9960256000000001,0.0,
24,560,3.3400000000000003,8,-246.04999999999995,-8.351999999999995,-10.25208333333333,True,True,True,True,False,TREAT,0,0,,,,,
25,588,-14.999999999999993,25,-261.04999999999995,-8.921999999999997,-10.441999999999997,False,False,False,False,False,ANALYZE,2,2,,,0.9957663999999999,0.0,
