metric,value
total_episodes,12412
total_timesteps,250000
final_cumulative_reward,11516.350000000044
mean_episode_reward,0.9278399935546239
std_episode_reward,7.1348300203388755
min_episode_reward,-14.999999999999993
max_episode_reward,17.89
mean_episode_length,20.14099258781824
final_moving_avg_10,4.275999999999998
final_moving_avg_100,4.866499999999998
reward_variance_last_100,51.02009475000002
mean_reward_last_100,4.866499999999998
conditions_read_success_rate,99.0
navigation_started_success_rate,99.0
zones_reached_success_rate,30.0
correct_zones_success_rate,28.000000000000004
treatments_applied_success_rate,27.0
final_exploration_rate,0.1
final_loss,
final_q_value_mean,
timestamp,20250802_123057
