Episode,Reward
1,16.065644
2,9.660936
3,17.092721
4,-7.091523
5,9.346127
6,18.247382
7,4.158703
8,9.477855
9,-10.76406
10,8.678095
11,3.22642
12,15.789885
13,9.052932
14,10.379922
15,6.073393
16,10.752973
17,9.961689
18,-3.569618
19,9.293897
20,-7.749865
21,-4.86927
22,17.75872
23,12.574802
24,12.853031
25,3.922549
26,10.22653
27,18.696492
28,-0.694955
29,10.65016
30,12.789631
31,9.577864
32,12.605662
33,0.349597
34,17.172186
35,9.240723
36,16.210906
37,11.937861
38,16.153842
39,7.770622
40,20.981622
41,5.979934
42,14.681241
43,12.239427
44,19.00191
45,15.920637
46,8.338349
47,-10.427466
48,-4.88017
49,17.825127
50,11.737006
51,4.215002
52,10.952465
53,-8.636717
54,26.116657
55,25.433648
56,5.995037
57,6.655759
58,11.022462
59,19.690964
60,11.691605
61,10.250617
62,-15.584358
63,5.618797
64,10.109264
65,16.65062
66,10.916326
67,13.536258
68,16.212787
69,11.810507
70,21.167197
71,-0.869624
72,2.93211
73,16.716356
74,15.485745
75,7.334459
76,16.586284
77,19.389822
78,12.963706
79,1.228766
80,9.916872
81,10.085335
82,7.861157
83,11.189526
84,21.223583
85,19.471457
86,19.530301
87,13.477441
88,-8.400173
89,7.663237
90,11.409291
91,11.190403
92,-0.564207
93,10.841
94,9.869937
95,14.776857
96,12.062402
97,10.173219
98,-7.953839
99,9.259878
100,9.415545
101,10.751068
102,10.845379
103,12.742998
104,11.242161
105,-4.548789
106,10.091775
107,13.931948
108,8.04217
109,14.86101
110,10.309413
111,8.671478
112,10.951405
113,11.895515
114,10.51448
115,11.016506
116,11.187395
117,22.930258
118,15.575077
119,5.037607
120,10.081527
121,7.466459
122,12.734348
123,9.343538
124,11.220441
125,8.692836
126,8.783376
127,7.836419
128,10.547776
129,33.193591
130,21.825193
131,4.594026
132,-6.346786
133,2.687643
134,6.800557
135,-10.238379
136,14.692043
137,7.85902
138,10.547838
139,10.916784
140,11.885181
141,10.695034
142,26.90878
143,8.127565
144,11.89649
145,8.453573
146,15.937526
147,6.501594
148,9.713977
149,21.389826
150,19.360852
151,10.030118
152,25.362993
153,14.119692
154,10.188846
155,10.386185
156,4.928901
157,12.420246
158,6.55423
159,8.499273
160,10.330945
161,5.707228
162,18.697769
163,10.783501
164,17.685638
165,41.183148
166,15.181093
167,14.223663
168,12.891985
169,16.020251
170,10.654616
171,14.510584
172,30.819263
173,7.529669
174,9.063216
175,23.138699
176,11.629474
177,14.694828
178,9.21102
179,13.087291
180,15.163572
181,6.503903
182,23.836323
183,-6.973198
184,6.516114
185,10.504373
186,10.689319
187,10.682974
188,4.834578
189,3.975811
190,-3.461181
191,9.949048
192,10.354481
193,11.079217
194,11.062286
195,17.624389
196,12.197534
197,10.730157
198,17.496146
199,10.744297
200,6.528312
201,13.468869
202,10.539656
203,15.493617
204,3.588136
205,9.39029
206,10.311887
207,13.287304
208,10.533738
209,11.539788
210,7.287214
211,13.00989
212,19.195078
213,10.225091
214,10.222787
215,10.519246
216,11.265652
217,45.925044
218,11.472115
219,-0.277081
220,7.574886
221,22.279244
222,9.538729
223,4.691791
224,14.556793
225,41.573402
226,10.104032
227,11.922899
228,19.692725
229,10.648
230,25.938791
231,15.385681
232,3.110402
233,10.94871
234,9.45626
235,9.677956
236,12.237857
237,18.03197
238,21.639603
239,28.330845
240,12.966763
241,11.138691
242,14.791638
243,10.273302
244,10.645489
245,10.720152
246,-10.400104
247,9.685183
248,3.391095
249,11.224781
250,-4.203714
251,9.235869
252,15.398125
253,9.222021
254,11.146521
255,8.155923
256,12.998456
257,8.60731
258,10.504931
259,8.522104
260,10.418266
261,15.693903
262,10.804519
263,11.148463
264,19.344132
265,19.745627
266,9.941993
267,-8.052194
268,12.720922
269,23.232765
270,11.397104
271,10.877746
272,9.146275
273,12.686481
274,10.013743
275,11.994801
276,5.890787
277,17.614952
278,24.901472
279,14.993066
280,10.933098
281,5.260704
282,9.9448
283,10.711639
284,-5.402237
285,8.176716
286,20.803865
287,11.706983
288,-11.651154
289,8.190962
290,20.189362
291,32.265415
292,11.541748
293,4.449603
294,13.933972
295,18.120673
296,13.635282
297,-2.566097
298,10.723602
299,-0.662266
300,-3.901972
301,-4.634409
302,27.664928
303,5.886087
304,16.033178
305,30.981353
306,11.504978
307,11.193118
308,12.818892
309,8.976356
310,9.052196
311,10.24029
312,10.762648
313,-10.539238
314,10.299584
315,18.609186
316,6.285016
317,14.014543
318,9.245675
319,11.369361
320,14.066334
321,9.117382
322,-4.661624
323,17.944377
324,29.066109
325,-3.875603
326,17.25333
327,21.44992
328,11.085402
329,14.512844
330,14.685084
331,13.055798
332,9.050739
333,9.249948
334,4.845619
335,11.231426
336,-7.237194
337,17.796723
338,27.085312
339,8.2911
340,13.788318
341,27.894802
342,10.825356
343,26.293388
344,10.310932
345,12.133087
346,-3.955304
347,11.726498
348,-2.919547
349,24.974945
350,17.368815
351,8.596119
352,29.715365
353,20.654348
354,23.831615
355,-6.885346
356,-8.906015
357,13.679379
358,19.59505
359,10.178565
360,-4.295207
361,-9.599976
362,18.011629
363,-4.601357
364,20.67925
365,7.261227
366,8.87256
367,15.041769
368,24.947734
369,17.238844
370,11.253284
371,-3.393797
372,10.740627
373,24.532261
374,14.321985
375,3.715744
376,11.222
377,24.980989
378,-6.265135
379,20.978406
380,9.905756
381,-1.856983
382,3.990632
383,8.548653
384,12.319048
385,-5.579795
386,15.7267
387,11.924079
388,14.518035
389,8.607248
390,15.314347
391,20.094094
392,23.173515
393,17.110094
394,-1.959646
395,12.82997
