Episode,Reward,Length,Final_Pest_Level,Success
1,116.32457399368292,30,0.12062403559684753,1
2,117.54873658627275,30,0.03,1
3,117.56993651390081,30,0.05684686452150345,1
4,117.82475996017462,30,0.07565522938966751,1
5,117.90644955635076,30,0.04192069172859192,1
6,116.58991217613226,30,0.06957508623600006,1
7,116.72626580470806,30,0.05803315341472626,1
8,115.94572424888617,30,0.31130868196487427,1
9,116.8552012443543,30,0.11352519690990448,1
10,117.22410535812384,30,0.217425137758255,1
11,117.55688858032232,30,0.1374138742685318,1
12,116.78029680252081,30,0.058127179741859436,1
13,116.32000000000005,30,0.06,1
14,116.66786208271986,30,0.24128511548042297,1
15,117.12940907478338,30,0.047878459095954895,1
16,117.63493108749395,30,0.06870303303003311,1
17,117.2270503044129,30,0.04500000178813934,1
18,116.67918467521673,30,0.22800001502037048,1
19,117.60970664024359,30,0.12006174027919769,1
20,117.78830170631414,30,0.1384250819683075,1
