metric,value
total_episodes,50485
total_timesteps,350208
final_cumulative_reward,614096.0199999069
mean_episode_reward,12.1639302763197
std_episode_reward,7.432913608630989
min_episode_reward,-27.499999999999993
max_episode_reward,18.02
mean_episode_length,6.9367931068634245
final_moving_avg_10,11.473999999999998
final_moving_avg_100,13.131400000000003
reward_variance_last_100,39.51141004000001
mean_reward_last_100,13.131400000000003
conditions_read_success_rate,100.0
navigation_started_success_rate,100.0
zones_reached_success_rate,99.0
correct_zones_success_rate,80.0
treatments_applied_success_rate,99.0
final_policy_loss,0.0011801514296959608
final_entropy,0.8149869992182806
final_clip_fraction,0.08012820512820513
final_kl_divergence,0.007799799
timestamp,20250802_145243
