Episode,Reward
1,11.077925
2,16.396183
3,13.443219
4,13.959852
5,12.378293
6,25.296851
7,12.609897
8,0.972346
9,10.898121
10,23.817439
11,11.430741
12,12.512784
13,13.840803
14,24.625597
15,6.035414
16,11.330769
17,-2.178861
18,-6.606142
19,20.840152
20,9.935798
21,9.411053
22,11.025486
23,3.33295
24,12.528142
25,13.954366
26,10.451505
27,-7.981314
28,-0.980087
29,9.983822
30,9.991866
31,3.096758
32,6.146588
33,10.625421
34,16.697643
35,14.603801
36,13.333677
37,8.465229
38,2.809217
39,-2.963421
40,20.405604
41,9.390917
42,14.130398
43,23.608173
44,10.934665
45,4.070707
46,-6.772964
47,9.71624
48,9.60916
49,7.368401
50,-2.060029
51,-6.787821
52,10.961917
53,-5.820263
54,11.220402
55,11.718758
56,4.039236
57,9.147053
58,15.012845
59,10.839493
60,21.562512
61,-7.564662
62,8.393271
63,10.50811
64,18.293643
65,-1.017312
66,2.896333
67,11.157123
68,19.389892
69,24.793188
70,14.510127
71,5.697702
72,12.680992
73,-7.966859
74,21.345428
75,-12.188129
76,13.993711
77,1.358506
78,25.550682
79,6.808667
80,14.949548
81,12.736576
82,-0.965087
83,7.906194
84,18.728565
85,6.625368
86,2.795111
87,20.229525
88,11.222
89,25.357425
90,12.333725
91,19.701958
92,7.318505
93,2.450734
94,12.668301
95,14.609025
96,19.678748
97,11.2252
98,10.33066
99,9.655298
100,3.860919
101,15.56582
102,16.764996
103,8.89165
104,11.109392
105,10.808983
106,-5.518878
107,3.716162
108,6.766498
109,31.319644
110,5.259523
111,24.958044
112,-5.203445
113,-2.365238
114,24.445799
115,8.445047
116,-8.648633
117,11.630877
118,10.418733
119,10.253806
120,8.055507
121,12.935937
122,10.459718
123,13.152969
124,-2.223572
125,14.619112
126,17.717689
127,10.643271
128,-5.4537
129,12.252088
130,14.827804
131,-5.071484
132,10.597622
133,10.756912
134,22.664598
135,12.623344
136,16.980343
137,10.916344
138,10.334625
139,22.718806
140,12.964328
141,9.842117
142,3.069409
143,11.082111
144,10.969249
145,13.196555
146,10.749716
147,8.654706
148,-3.467113
149,14.280568
150,-0.932237
151,11.02848
152,11.023074
153,-9.813981
154,6.890096
155,5.11733
156,-3.383499
157,24.25242
158,-0.245944
159,28.226085
160,13.989019
161,10.277276
162,21.960435
163,3.200082
164,8.092468
165,10.993968
166,-6.57858
167,10.8921
168,-4.756382
169,10.080753
170,18.691063
171,2.608706
172,12.421845
173,14.801329
174,14.27754
175,18.571636
176,12.071296
177,25.39775
178,7.785877
179,5.704625
180,-0.916003
181,13.969008
182,13.388715
183,9.360557
184,-3.100106
185,-9.068372
186,18.491602
187,7.441084
188,19.914336
189,-8.999852
190,10.181163
191,7.815759
192,13.887499
193,-4.485613
194,8.99932
195,10.22296
196,-7.164536
197,6.754625
198,-10.62058
199,11.105279
200,10.752731
201,16.217872
202,6.370627
203,15.685291
204,19.723138
205,-8.154276
206,-2.655972
207,44.25381
208,10.554519
209,11.547396
210,22.688532
211,15.04026
212,11.972029
213,8.547769
214,21.40359
215,8.816817
216,10.280259
217,15.968687
218,31.210098
219,11.771153
220,19.467903
221,9.19596
222,9.633568
223,24.275922
224,22.345411
225,26.168076
226,13.835877
227,19.567365
228,-6.791924
229,12.029924
230,8.272475
231,25.95287
232,10.735642
233,-3.635316
234,6.875686
235,-10.880971
236,11.696859
237,20.285534
238,8.581037
239,10.895912
240,17.239592
241,-9.342475
242,15.729254
243,11.824229
244,8.401577
245,10.087014
246,3.963794
247,11.898382
248,7.186756
249,15.540705
250,-4.607739
251,15.702736
252,14.713883
253,12.097657
254,20.501243
255,4.886208
256,8.771593
257,18.540345
258,0.97235
259,11.628792
260,3.897365
261,8.134433
262,9.588957
263,12.369663
264,-3.637486
265,11.266552
266,26.238748
267,7.188859
268,8.013661
269,29.3844
270,11.480578
271,9.347968
272,11.421993
273,10.84253
274,21.309206
275,16.455216
276,9.130375
277,11.126432
278,10.183811
279,10.722997
280,11.157475
281,19.173153
282,-1.619874
283,27.684936
284,15.545416
285,12.024835
286,-4.960398
287,27.991185
288,10.99929
289,10.071501
290,16.683722
291,10.152
292,8.639992
293,20.321023
294,12.36564
295,-0.901526
296,-2.075437
297,9.839516
298,14.619317
299,27.497131
300,7.723857
301,15.071565
302,17.013651
303,7.974857
304,11.478234
305,8.999992
306,11.323103
307,19.657311
308,11.590202
309,5.789958
310,2.866372
311,16.111368
312,10.859063
313,-8.741643
314,24.127501
315,17.683272
316,5.741949
317,21.613699
318,3.81191
319,14.229761
320,15.419461
321,10.749367
322,11.733928
323,-0.292626
324,17.149932
325,20.334792
326,-2.76085
327,28.692565
328,3.780382
329,18.597092
330,12.6505
331,11.130635
332,9.125958
333,-1.971876
334,4.801964
335,15.177403
336,10.800775
337,9.66545
338,9.484131
339,-4.160401
340,12.42013
341,0.325267
342,12.026766
343,11.34915
344,0.486959
345,-10.558041
346,15.43201
347,27.666076
348,10.852846
349,-8.082931
350,12.109933
351,-3.046325
352,11.289902
353,10.47142
354,13.507571
355,-1.179363
356,5.066258
357,11.110872
358,14.889332
359,12.627586
360,-2.876634
361,1.098131
362,8.43272
363,8.173983
364,4.798405
365,9.04469
366,6.447805
367,0.361129
368,10.258754
369,22.342181
370,22.156922
371,19.177552
372,4.651554
373,-5.510359
374,11.368591
375,9.099265
376,12.458225
377,25.911108
378,18.754271
379,10.499116
380,-3.46113
381,12.042428
382,14.977013
383,13.246167
384,16.222069
385,11.2564
386,12.44932
387,24.247027
388,12.281311
389,8.474584
390,-6.983844
391,4.673552
392,-9.365974
393,4.581476
394,14.633972
395,8.23767
396,-5.703032
397,21.678183
398,15.450138
399,7.114122
400,-5.40532
401,6.39545
402,13.410718
403,10.5948
404,31.428328
405,7.629523
406,12.275101
407,-2.298952
408,9.298201
409,11.904178
410,11.205693
411,6.583161
412,10.717602
413,-5.549753
414,11.45191
415,30.95403
416,12.343189
417,10.987199
418,14.046641
419,11.520984
420,8.253492
421,-5.448106
422,11.076251
423,15.908957
424,11.2252
425,20.600667
426,16.991648
427,17.851211
428,20.920677
429,25.323005
430,14.914487
431,23.999892
432,8.536384
433,32.667935
434,-8.911223
435,16.558379
436,15.000612
437,11.166171
438,5.868806
439,0.332973
440,3.775297
441,11.183
442,12.553575
443,5.092993
444,7.174149
445,10.495916
446,6.110026
447,9.692721
448,14.30452
449,8.678821
450,-6.988325
451,11.896863
452,10.303656
453,-3.396622
454,11.044831
455,11.169164
456,17.280011
457,13.300031
458,0.679454
459,8.722389
460,12.311537
461,27.070128
462,10.282028
463,-9.081621
464,10.452166
465,-6.738109
466,14.086407
467,-3.518116
468,14.652693
469,6.039003
470,-7.121397
471,15.00019
472,17.947548
473,10.485999
474,7.503273
475,9.863743
476,8.366479
477,9.286758
478,11.823563
479,13.980274
480,22.377964
481,41.538302
482,20.928754
483,12.532475
484,9.913558
485,9.848594
486,15.856276
487,-4.963205
488,12.291104
489,18.57633
490,4.747106
491,0.740918
492,12.656209
493,-5.646524
494,21.85273
495,11.079983
496,15.987682
497,27.103129
498,26.770424
499,-8.544928
500,11.034977
501,-7.709958
502,26.643093
503,0.016148
504,13.154462
505,17.289193
506,36.564497
507,16.732804
508,10.749614
509,13.024307
510,-3.695912
511,23.116837
512,20.546251
513,7.34519
514,9.043562
515,3.846835
516,8.832968
517,9.721777
518,9.685956
519,15.305875
520,10.356186
521,10.982589
522,7.106359
523,10.956796
524,7.382725
525,10.863697
526,10.681801
527,10.846774
528,-7.531832
529,20.7148
530,9.308384
531,10.596881
532,10.071556
533,14.168228
534,10.937593
535,10.897719
536,16.250912
537,6.706997
538,15.292397
539,2.909614
540,12.585981
541,-7.859288
542,4.1856
543,17.227149
544,12.796549
545,5.641604
546,17.387671
547,10.232486
548,-0.633578
549,8.078487
550,8.7012
551,6.668904
552,17.28815
553,30.184078
554,10.744923
555,17.638437
556,10.32014
557,9.568683
558,11.0021
559,15.464001
560,-7.648354
561,20.554637
562,15.730169
563,9.961252
564,-5.119658
565,-3.085676
566,10.602142
567,13.571572
568,-0.636022
569,1.457225
570,14.377851
571,8.021555
572,13.950971
573,15.615616
574,-4.372348
575,9.218908
576,10.089716
577,7.819635
578,9.292089
579,-8.097271
580,11.525177
581,23.223249
582,31.149111
583,21.851464
584,7.854052
585,20.328736
586,-0.205571
587,21.715304
588,8.532165
589,18.029975
590,11.138315
591,27.740466
592,7.681384
593,10.036351
594,10.255079
595,23.486997
596,-5.93466
597,26.047494
598,7.934394
599,12.781475
600,10.008905
601,5.256855
602,10.842207
603,22.675255
604,6.985518
605,21.82859
606,8.87229
607,18.555429
608,11.509506
609,14.272039
610,-1.958941
611,11.533768
612,29.899803
613,11.847908
614,21.662227
615,11.095339
616,-5.0824
617,9.273346
618,10.455729
619,13.559146
620,15.741684
621,11.645483
622,10.494206
623,15.17305
624,19.704003
625,3.991898
626,9.437958
627,28.836175
628,16.171186
629,23.663674
630,9.743124
631,2.984878
632,22.545101
633,-8.291192
634,14.259061
635,24.893198
636,8.959161
637,-5.206184
638,10.576746
639,21.235223
640,10.320218
641,5.710271
642,16.142839
643,13.953806
644,11.203889
645,4.067101
646,13.722111
647,3.80573
648,9.97506
649,9.491857
650,14.354956
651,17.294256
652,11.659823
653,8.506761
654,15.628032
655,12.431597
656,23.657111
657,22.948715
658,16.071614
659,15.637901
660,17.382842
661,29.981465
662,2.76916
663,32.638481
664,12.32146
665,12.336878
666,9.933015
667,10.654906
668,10.786682
669,8.461973
670,-2.84357
671,22.751843
672,-5.758033
673,9.848457
674,10.373288
675,10.361966
676,21.806329
677,13.75905
678,17.985845
679,1.493458
680,19.938169
681,14.429997
682,11.311545
683,10.663728
684,10.768701
685,24.36928
686,20.85596
687,11.611826
688,5.698296
689,25.948178
690,-2.953412
691,-3.051576
692,12.601454
693,5.413555
694,11.064925
695,12.426476
696,8.221823
697,18.222117
698,12.521092
699,-5.185675
700,12.119113
701,8.044125
702,10.301508
703,8.780353
704,8.581263
705,14.943684
706,11.248532
707,10.637188
708,11.377646
709,21.124848
710,9.141159
711,7.818272
712,21.340329
713,11.129946
714,11.453472
715,-0.572606
716,25.600975
717,4.795257
718,8.932347
719,5.169126
720,13.711004
721,7.104739
722,8.277766
723,5.492254
724,22.003597
725,31.813683
726,30.215919
727,14.690081
728,17.431502
729,28.495668
730,-5.08849
731,8.051305
732,-7.222017
733,10.050142
734,-0.680786
735,12.939518
736,10.912352
737,17.803748
738,19.229587
739,6.877356
740,10.707348
741,28.019553
742,-9.306076
743,5.100999
744,12.410746
745,13.153591
746,10.549228
747,12.424795
748,7.960679
749,14.034562
750,4.891117
751,11.830903
752,13.092679
753,5.631452
754,16.527535
755,10.759406
756,10.54769
757,-10.116243
758,1.702347
