Episode,Reward,Length,Final_Pest_Level,Success
1,103.92325901985173,30,0.051969580352306366,1
2,102.06189036369328,30,0.0950278490781784,1
3,104.07799243927006,30,0.07298541069030762,1
4,103.20964097976689,30,0.024000000208616257,1
5,102.9714622497559,30,0.14260025322437286,1
6,102.89521789550786,30,0.23230302333831787,1
7,102.89487910270695,30,0.15327346324920654,1
8,102.38924431800847,30,0.045390091836452484,1
9,103.13604459559922,30,0.033,1
10,103.51988601684575,30,0.06259363144636154,1
11,102.42214107513432,30,0.04871619492769241,1
12,102.37450408935551,30,0.1214262992143631,1
13,102.85687184333806,30,0.23542910814285278,1
14,102.76056830501561,30,0.07406836748123169,1
15,101.87542863261704,30,0.0891675055027008,1
16,104.21568083763127,30,0.0950661450624466,1
17,102.84968423843388,30,0.25042957067489624,1
18,103.3273930549622,30,0.0713672786951065,1
19,102.60727214813237,30,0.16316917538642883,1
20,102.42763557493689,30,0.03,1
