episode_num,timestep,episode_reward,episode_length,cumulative_reward,moving_avg_10,moving_avg_100,conditions_read,navigation_started,zones_reached,correct_zones,treatments_applied,episode_phases,final_distances,best_distances,policy_loss,value_loss,entropy,learning_rate,explained_variance,total_loss,loss_variance_window,reward_variance_window
1,2048,-15.099999999999993,30,-15.099999999999993,-15.099999999999993,-15.099999999999993,True,False,False,False,False,NAVIGATE,1,1,,,,,,,,
2,2048,-11.09999999999999,30,-26.19999999999998,-13.09999999999999,-13.09999999999999,True,True,True,True,False,TREAT,0,0,,,,,,,,
3,2048,-13.199999999999994,30,-39.39999999999998,-13.133333333333326,-13.133333333333326,True,True,False,False,False,NAVIGATE,2,1,,,,,,,,
4,2048,-17.59999999999999,30,-56.99999999999997,-14.249999999999993,-14.249999999999993,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
5,2048,-17.59999999999999,30,-74.59999999999997,-14.919999999999993,-14.919999999999993,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
6,2048,-10.599999999999996,30,-85.19999999999996,-14.199999999999994,-14.199999999999994,True,True,False,False,False,NAVIGATE,3,2,,,,,,,,
7,2048,-17.59999999999999,30,-102.79999999999995,-14.68571428571428,-14.68571428571428,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
8,2048,-12.999999999999995,30,-115.79999999999995,-14.474999999999993,-14.474999999999993,True,True,False,False,False,NAVIGATE,2,1,,,,,,,,
9,2048,-13.099999999999993,30,-128.89999999999995,-14.322222222222214,-14.322222222222214,True,True,False,False,False,NAVIGATE,3,2,,,,,,,,
10,2048,-15.09999999999999,30,-143.99999999999994,-14.399999999999991,-14.399999999999991,True,False,False,False,False,NAVIGATE,1,1,,,,,,,,
11,2048,-15.09999999999999,30,-159.09999999999994,-14.399999999999991,-14.463636363636356,True,False,False,False,False,NAVIGATE,2,2,,,,,,,,
12,2048,-4.979999999999995,24,-164.07999999999993,-13.787999999999991,-13.673333333333325,True,True,True,True,False,TREAT,0,0,,,,,,,,
13,2048,-11.899999999999997,30,-175.97999999999993,-13.657999999999992,-13.53692307692307,True,True,False,False,False,NAVIGATE,3,2,,,,,,,,
14,2048,-7.279999999999999,24,-183.25999999999993,-12.625999999999994,-13.089999999999993,True,True,True,False,False,TREAT,4,1,,,,,,,,
15,2048,-13.499999999999995,30,-196.75999999999993,-12.215999999999994,-13.117333333333328,True,True,False,False,False,NAVIGATE,2,2,,,,,,,,
16,2048,-17.59999999999999,30,-214.35999999999993,-12.915999999999993,-13.397499999999994,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
17,2048,-17.59999999999999,30,-231.95999999999992,-12.915999999999993,-13.644705882352936,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
18,2048,-13.79999999999999,30,-245.7599999999999,-12.995999999999992,-13.653333333333327,True,True,False,False,False,NAVIGATE,3,1,,,,,,,,
19,2048,-15.09999999999999,30,-260.8599999999999,-13.195999999999993,-13.729473684210518,True,False,False,False,False,NAVIGATE,1,1,,,,,,,,
20,2048,-15.09999999999999,30,-275.95999999999987,-13.195999999999993,-13.797999999999991,True,False,False,False,False,NAVIGATE,1,1,,,,,,,,
21,2048,-15.09999999999999,30,-291.05999999999983,-13.195999999999993,-13.859999999999989,True,False,False,False,False,NAVIGATE,2,2,,,,,,,,
22,2048,-12.149999999999995,30,-303.2099999999998,-13.912999999999993,-13.782272727272716,True,True,False,False,False,NAVIGATE,3,1,,,,,,,,
23,2048,-12.999999999999991,30,-316.2099999999998,-14.022999999999993,-13.748260869565206,True,True,False,False,False,NAVIGATE,3,2,,,,,,,,
24,2048,-9.349999999999998,30,-325.55999999999983,-14.229999999999993,-13.564999999999992,True,True,False,False,False,NAVIGATE,2,2,,,,,,,,
25,2048,-3.3200000000000003,16,-328.8799999999998,-13.211999999999993,-13.155199999999994,True,True,True,False,False,TREAT,4,2,,,,,,,,
26,2048,-12.399999999999993,30,-341.2799999999998,-12.691999999999991,-13.126153846153839,True,True,False,False,False,NAVIGATE,1,1,,,,,,,,
27,2048,-17.59999999999999,30,-358.87999999999977,-12.691999999999993,-13.291851851851844,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
28,2048,-13.399999999999995,30,-372.27999999999975,-12.651999999999994,-13.295714285714277,True,True,False,False,False,NAVIGATE,2,2,,,,,,,,
29,2048,-10.349999999999998,30,-382.62999999999977,-12.176999999999994,-13.194137931034474,True,True,False,False,False,NAVIGATE,2,1,,,,,,,,
30,2048,-12.849999999999993,30,-395.47999999999973,-11.951999999999995,-13.182666666666657,True,True,False,False,False,NAVIGATE,2,2,,,,,,,,
31,2048,-14.199999999999992,30,-409.6799999999997,-11.861999999999995,-13.215483870967732,True,True,False,False,False,NAVIGATE,2,1,,,,,,,,
32,2048,-4.979999999999997,24,-414.65999999999974,-11.144999999999992,-12.958124999999994,True,True,True,True,False,TREAT,0,0,,,,,,,,
33,2048,9.850000000000001,20,-404.8099999999997,-8.859999999999996,-12.26696969696969,True,True,True,True,True,TREAT,0,0,,,,,,,,
34,2048,-13.399999999999991,30,-418.2099999999997,-9.264999999999997,-12.300294117647052,True,True,False,False,False,NAVIGATE,5,2,,,,,,,,
35,2048,-17.59999999999999,30,-435.80999999999966,-10.692999999999994,-12.451714285714278,False,False,False,False,False,ANALYZE,1,1,,,,,,,,
36,2048,-3.4800000000000004,14,-439.2899999999997,-9.800999999999995,-12.202499999999993,True,True,True,False,False,TREAT,4,2,,,,,,,,
37,2048,-17.59999999999999,30,-456.88999999999965,-9.800999999999995,-12.34837837837837,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
38,2048,7.060000000000004,22,-449.82999999999964,-7.7549999999999955,-11.837631578947361,True,True,True,True,True,TREAT,0,0,,,,,,,,
39,2048,-17.59999999999999,30,-467.4299999999996,-8.479999999999993,-11.985384615384607,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
40,2048,-17.59999999999999,30,-485.0299999999996,-8.954999999999995,-12.125749999999993,False,False,False,False,False,ANALYZE,1,1,,,,,,,,
41,2048,-2.4400000000000004,12,-487.4699999999996,-7.778999999999995,-11.889512195121945,True,True,True,False,False,TREAT,4,2,,,,,,,,
42,2048,-15.09999999999999,30,-502.56999999999954,-8.790999999999993,-11.965952380952373,True,False,False,False,False,NAVIGATE,2,2,,,,,,,,
43,2048,-12.79999999999999,30,-515.3699999999995,-11.055999999999992,-11.985348837209294,True,True,False,False,False,NAVIGATE,3,1,,,,,,,,
44,2048,4.940000000000001,3,-510.42999999999955,-9.221999999999994,-11.60068181818181,True,True,True,True,False,TREAT,0,0,,,,,,,,
45,2048,-12.849999999999994,30,-523.2799999999995,-8.746999999999995,-11.628444444444437,True,True,False,False,False,NAVIGATE,1,1,,,,,,,,
46,2048,-17.59999999999999,30,-540.8799999999995,-10.158999999999994,-11.758260869565209,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
47,2048,-12.299999999999995,30,-553.1799999999995,-9.628999999999994,-11.769787234042544,True,True,False,False,False,NAVIGATE,1,1,,,,,,,,
48,2048,-17.59999999999999,30,-570.7799999999995,-12.094999999999995,-11.891249999999994,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
49,2048,-17.59999999999999,30,-588.3799999999995,-12.094999999999994,-12.00775510204081,False,False,False,False,False,ANALYZE,1,1,,,,,,,,
50,2048,-17.59999999999999,30,-605.9799999999996,-12.094999999999994,-12.119599999999997,False,False,False,False,False,ANALYZE,1,1,,,,,,,,
51,2048,-10.899999999999995,30,-616.8799999999995,-12.940999999999994,-12.095686274509799,True,True,True,False,False,TREAT,4,1,,,,,,,,
52,2048,-17.59999999999999,30,-634.4799999999996,-13.190999999999992,-12.201538461538458,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
53,2048,-5.0,15,-639.4799999999996,-12.410999999999992,-12.065660377358487,True,True,True,False,True,TREAT,4,2,,,,,,,,
54,2048,-12.449999999999996,30,-651.9299999999996,-14.149999999999991,-12.072777777777775,True,True,False,False,False,NAVIGATE,3,2,,,,,,,,
55,2048,-17.59999999999999,30,-669.5299999999996,-14.624999999999995,-12.173272727272725,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
56,2048,-13.399999999999995,30,-682.9299999999996,-14.204999999999995,-12.195178571428565,True,True,False,False,False,NAVIGATE,2,2,,,,,,,,
57,2048,-17.59999999999999,30,-700.5299999999996,-14.734999999999994,-12.289999999999994,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
58,2048,-17.59999999999999,30,-718.1299999999997,-14.734999999999994,-12.381551724137925,False,False,False,False,False,ANALYZE,1,1,,,,,,,,
59,2048,-13.399999999999993,30,-731.5299999999996,-14.314999999999994,-12.398813559322027,True,True,False,False,False,NAVIGATE,2,2,,,,,,,,
60,2048,-15.09999999999999,30,-746.6299999999997,-14.064999999999992,-12.443833333333327,True,False,False,False,False,NAVIGATE,1,1,,,,,,,,
61,2048,-17.59999999999999,30,-764.2299999999997,-14.734999999999994,-12.5283606557377,False,False,False,False,False,ANALYZE,2,2,,,,,,,,
62,2048,-17.59999999999999,30,-781.8299999999997,-14.734999999999994,-12.610161290322576,False,False,False,False,False,ANALYZE,1,1,,,,,,,,
63,2048,-0.8199999999999998,16,-782.6499999999997,-14.316999999999993,-12.423015873015869,True,True,True,True,False,TREAT,0,0,,,,,,,,
64,2048,-9.899999999999999,30,-792.5499999999997,-14.061999999999992,-12.383593749999992,True,True,True,False,False,TREAT,4,2,,,,,,,,
65,2048,-6.6,20,-799.1499999999997,-12.961999999999994,-12.294615384615378,True,True,True,False,False,TREAT,4,2,,,,,,,,
66,2048,-10.55,30,-809.6999999999997,-12.676999999999994,-12.26818181818181,True,True,False,False,False,NAVIGATE,2,2,,,,,,,,
67,2048,-15.09999999999999,30,-824.7999999999997,-12.426999999999994,-12.310447761194022,True,False,False,False,False,NAVIGATE,2,2,,,,,,,,
68,2048,-8.799999999999997,25,-833.5999999999997,-11.546999999999995,-12.258823529411757,True,True,True,False,False,TREAT,4,1,,,,,,,,
69,2048,-13.399999999999991,30,-846.9999999999997,-11.546999999999995,-12.275362318840571,True,True,False,False,False,NAVIGATE,2,2,,,,,,,,
70,2048,-13.049999999999992,30,-860.0499999999996,-11.341999999999995,-12.286428571428562,True,True,False,False,False,NAVIGATE,1,1,,,,,,,,
71,2048,-3.379999999999996,19,-863.4299999999996,-9.919999999999996,-12.16098591549295,True,True,True,True,False,TREAT,0,0,,,,,,,,
72,2048,-4.640000000000001,17,-868.0699999999996,-8.623999999999997,-12.056527777777772,True,True,True,False,False,TREAT,4,1,,,,,,,,
73,2048,-11.649999999999997,30,-879.7199999999996,-9.706999999999997,-12.050958904109583,True,True,False,False,False,NAVIGATE,2,2,,,,,,,,
74,2048,-15.09999999999999,30,-894.8199999999996,-10.226999999999993,-12.092162162162158,True,False,False,False,False,NAVIGATE,1,1,,,,,,,,
75,4096,-13.399999999999995,30,-908.2199999999996,-10.906999999999995,-12.109599999999995,True,True,False,False,False,NAVIGATE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
76,4096,-17.59999999999999,30,-925.8199999999996,-11.611999999999993,-12.181842105263152,False,False,False,False,False,ANALYZE,1,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
77,4096,-12.199999999999994,30,-938.0199999999996,-11.321999999999994,-12.182077922077918,True,True,False,False,False,NAVIGATE,1,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
78,4096,-13.249999999999995,30,-951.2699999999996,-11.766999999999992,-12.195769230769226,True,True,False,False,False,NAVIGATE,3,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
79,4096,-17.59999999999999,30,-968.8699999999997,-12.186999999999994,-12.26417721518987,False,False,False,False,False,ANALYZE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
80,4096,-14.19999999999999,30,-983.0699999999997,-12.301999999999994,-12.288374999999993,True,True,False,False,False,NAVIGATE,3,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
81,4096,-12.999999999999996,30,-996.0699999999997,-13.263999999999992,-12.297160493827153,True,True,False,False,False,NAVIGATE,2,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
82,4096,-2.8999999999999972,20,-998.9699999999997,-13.089999999999995,-12.18256097560975,True,True,True,True,False,TREAT,0,0,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
83,4096,-11.599999999999994,30,-1010.5699999999997,-13.08499999999999,-12.175542168674692,True,True,False,False,False,NAVIGATE,3,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
84,4096,-13.049999999999994,30,-1023.6199999999997,-12.879999999999992,-12.185952380952374,True,True,False,False,False,NAVIGATE,1,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
85,4096,-9.6,30,-1033.2199999999996,-12.499999999999995,-12.155529411764698,True,True,False,False,False,NAVIGATE,2,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
86,4096,-13.399999999999991,30,-1046.6199999999997,-12.079999999999995,-12.169999999999993,True,True,False,False,False,NAVIGATE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
87,4096,-12.999999999999995,30,-1059.6199999999997,-12.159999999999995,-12.17954022988505,True,True,False,False,False,NAVIGATE,2,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
88,4096,-17.59999999999999,30,-1077.2199999999996,-12.594999999999995,-12.241136363636356,False,False,False,False,False,ANALYZE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
89,4096,-12.199999999999996,30,-1089.4199999999996,-12.054999999999996,-12.240674157303364,True,True,False,False,False,NAVIGATE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
90,4096,13.82,9,-1075.5999999999997,-9.252999999999997,-11.951111111111105,True,True,True,True,True,TREAT,0,0,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
91,4096,-15.09999999999999,30,-1090.6999999999996,-9.462999999999997,-11.985714285714279,True,False,False,False,False,NAVIGATE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
92,4096,-13.399999999999995,30,-1104.0999999999997,-10.512999999999995,-12.001086956521734,True,True,False,False,False,NAVIGATE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
93,4096,-13.599999999999994,30,-1117.6999999999996,-10.712999999999994,-12.018279569892467,True,True,True,False,True,TREAT,4,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
94,4096,-17.59999999999999,30,-1135.2999999999995,-11.167999999999996,-12.077659574468077,False,False,False,False,False,ANALYZE,1,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
95,4096,-15.09999999999999,30,-1150.3999999999994,-11.717999999999995,-12.109473684210517,True,False,False,False,False,NAVIGATE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
96,4096,-17.59999999999999,30,-1167.9999999999993,-12.137999999999995,-12.166666666666663,False,False,False,False,False,ANALYZE,1,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
97,4096,-17.59999999999999,30,-1185.5999999999992,-12.597999999999994,-12.222680412371128,False,False,False,False,False,ANALYZE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
98,4096,-7.0199999999999925,26,-1192.6199999999992,-11.539999999999994,-12.169591836734687,True,True,True,True,False,TREAT,0,0,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
99,4096,-13.59999999999999,30,-1206.2199999999991,-11.679999999999994,-12.184040404040397,True,True,False,False,False,NAVIGATE,1,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
100,4096,-17.59999999999999,30,-1223.819999999999,-14.821999999999992,-12.238199999999992,False,False,False,False,False,ANALYZE,1,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
101,4096,-17.59999999999999,30,-1241.419999999999,-15.071999999999992,-12.263199999999992,False,False,False,False,False,ANALYZE,1,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
102,4096,-14.19999999999999,30,-1255.619999999999,-15.15199999999999,-12.294199999999995,True,True,False,False,False,NAVIGATE,2,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
103,4096,7.650000000000002,20,-1247.969999999999,-13.026999999999992,-12.085699999999992,True,True,True,True,True,TREAT,0,0,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
104,4096,-5.76,23,-1253.7299999999989,-11.842999999999993,-11.967299999999993,True,True,True,False,False,TREAT,4,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
105,4096,-17.59999999999999,30,-1271.3299999999988,-12.092999999999993,-11.967299999999993,False,False,False,False,False,ANALYZE,2,2,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
106,4096,-12.999999999999996,30,-1284.3299999999988,-11.632999999999994,-11.991299999999992,True,True,False,False,False,NAVIGATE,2,1,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
107,4096,-5.859999999999996,28,-1290.1899999999987,-10.458999999999994,-11.873899999999992,True,True,True,True,False,TREAT,0,0,1.6391277313232422e-06,61.81644821166992,3.091038227081299,0.0001,0.005109131336212158,61.81644985079765,,16.09462099999998
