episode_num,episode_reward,cumulative_reward,moving_avg_10,moving_avg_100,episode_length,policy_loss,value_loss,entropy,learning_rate,explained_variance,total_loss,loss_variance_window,reward_variance_window
1,-15.099999999999993,-15.099999999999993,-15.099999999999993,-15.099999999999993,30,,,,,,,,
2,-11.09999999999999,-26.19999999999998,-13.09999999999999,-13.09999999999999,30,,,,,,,,
3,-13.199999999999994,-39.39999999999998,-13.133333333333326,-13.133333333333326,30,,,,,,,,
4,-17.59999999999999,-56.99999999999997,-14.249999999999993,-14.249999999999993,30,,,,,,,,
5,-17.59999999999999,-74.59999999999997,-14.919999999999993,-14.919999999999993,30,,,,,,,,
6,-10.599999999999996,-85.19999999999996,-14.199999999999994,-14.199999999999994,30,,,,,,,,
7,-17.59999999999999,-102.79999999999995,-14.68571428571428,-14.68571428571428,30,,,,,,,,
8,-12.999999999999995,-115.79999999999995,-14.474999999999993,-14.474999999999993,30,,,,,,,,
9,-13.099999999999993,-128.89999999999995,-14.322222222222214,-14.322222222222214,30,,,,,,,,
10,-15.09999999999999,-143.99999999999994,-14.399999999999991,-14.399999999999991,30,,,,,,,,
11,-15.09999999999999,-159.09999999999994,-14.399999999999991,-14.463636363636356,30,,,,,,,,
12,-4.979999999999995,-164.07999999999993,-13.787999999999991,-13.673333333333325,24,,,,,,,,
13,-11.899999999999997,-175.97999999999993,-13.657999999999992,-13.53692307692307,30,,,,,,,,
14,-7.279999999999999,-183.25999999999993,-12.625999999999994,-13.089999999999993,24,,,,,,,,
15,-13.499999999999995,-196.75999999999993,-12.215999999999994,-13.117333333333328,30,,,,,,,,
16,-17.59999999999999,-214.35999999999993,-12.915999999999993,-13.397499999999994,30,,,,,,,,
17,-17.59999999999999,-231.95999999999992,-12.915999999999993,-13.644705882352936,30,,,,,,,,
18,-13.79999999999999,-245.7599999999999,-12.995999999999992,-13.653333333333327,30,,,,,,,,
19,-15.09999999999999,-260.8599999999999,-13.195999999999993,-13.729473684210518,30,,,,,,,,
20,-15.09999999999999,-275.95999999999987,-13.195999999999993,-13.797999999999991,30,,,,,,,,
21,-15.09999999999999,-291.05999999999983,-13.195999999999993,-13.859999999999989,30,,,,,,,,
22,-12.149999999999995,-303.2099999999998,-13.912999999999993,-13.782272727272716,30,,,,,,,,
23,-12.999999999999991,-316.2099999999998,-14.022999999999993,-13.748260869565206,30,,,,,,,,
24,-9.349999999999998,-325.55999999999983,-14.229999999999993,-13.564999999999992,30,,,,,,,,
25,-3.3200000000000003,-328.8799999999998,-13.211999999999993,-13.155199999999994,16,,,,,,,,
26,-12.399999999999993,-341.2799999999998,-12.691999999999991,-13.126153846153839,30,,,,,,,,
27,-17.59999999999999,-358.87999999999977,-12.691999999999993,-13.291851851851844,30,,,,,,,,
28,-13.399999999999995,-372.27999999999975,-12.651999999999994,-13.295714285714277,30,,,,,,,,
29,-10.349999999999998,-382.62999999999977,-12.176999999999994,-13.194137931034474,30,,,,,,,,
30,-12.849999999999993,-395.47999999999973,-11.951999999999995,-13.182666666666657,30,,,,,,,,
31,-14.199999999999992,-409.6799999999997,-11.861999999999995,-13.215483870967732,30,,,,,,,,
32,-4.979999999999997,-414.65999999999974,-11.144999999999992,-12.958124999999994,24,,,,,,,,
33,9.850000000000001,-404.8099999999997,-8.859999999999996,-12.26696969696969,20,,,,,,,,
34,-13.399999999999991,-418.2099999999997,-9.264999999999997,-12.300294117647052,30,,,,,,,,
35,-17.59999999999999,-435.80999999999966,-10.692999999999994,-12.451714285714278,30,,,,,,,,
36,-3.4800000000000004,-439.2899999999997,-9.800999999999995,-12.202499999999993,14,,,,,,,,
37,-17.59999999999999,-456.88999999999965,-9.800999999999995,-12.34837837837837,30,,,,,,,,
38,7.060000000000004,-449.82999999999964,-7.7549999999999955,-11.837631578947361,22,,,,,,,,
39,-17.59999999999999,-467.4299999999996,-8.479999999999993,-11.985384615384607,30,,,,,,,,
40,-17.59999999999999,-485.0299999999996,-8.954999999999995,-12.125749999999993,30,,,,,,,,
41,-2.4400000000000004,-487.4699999999996,-7.778999999999995,-11.889512195121945,12,,,,,,,,
42,-15.09999999999999,-502.56999999999954,-8.790999999999993,-11.965952380952373,30,,,,,,,,
43,-12.79999999999999,-515.3699999999995,-11.055999999999992,-11.985348837209294,30,,,,,,,,
44,4.940000000000001,-510.42999999999955,-9.221999999999994,-11.60068181818181,3,,,,,,,,
45,-12.849999999999994,-523.2799999999995,-8.746999999999995,-11.628444444444437,30,,,,,,,,
46,-17.59999999999999,-540.8799999999995,-10.158999999999994,-11.758260869565209,30,,,,,,,,
47,-12.299999999999995,-553.1799999999995,-9.628999999999994,-11.769787234042544,30,,,,,,,,
48,-17.59999999999999,-570.7799999999995,-12.094999999999995,-11.891249999999994,30,,,,,,,,
49,-17.59999999999999,-588.3799999999995,-12.094999999999994,-12.00775510204081,30,,,,,,,,
50,-17.59999999999999,-605.9799999999996,-12.094999999999994,-12.119599999999997,30,,,,,,,,
51,-10.899999999999995,-616.8799999999995,-12.940999999999994,-12.095686274509799,30,,,,,,,,
52,-17.59999999999999,-634.4799999999996,-13.190999999999992,-12.201538461538458,30,,,,,,,,
53,-5.0,-639.4799999999996,-12.410999999999992,-12.065660377358487,15,,,,,,,,
54,-12.449999999999996,-651.9299999999996,-14.149999999999991,-12.072777777777775,30,,,,,,,,
