metric,value
total_episodes,8066
total_timesteps,200704
final_cumulative_reward,-66219.96999999936
mean_episode_reward,-8.209765683114304
std_episode_reward,6.7869862167544355
min_episode_reward,-17.59999999999999
max_episode_reward,16.42
mean_episode_length,24.88172576245971
final_moving_avg_10,-8.523999999999997
final_moving_avg_100,-7.364499999999998
reward_variance_all_episodes,46.063181906414684
reward_variance_last_100,32.359314749999974
mean_reward_last_100,-7.364499999999998
conditions_read_success_rate,97.0
navigation_started_success_rate,94.0
zones_reached_success_rate,49.0
correct_zones_success_rate,24.0
treatments_applied_success_rate,9.0
algorithm_type,REINFORCE_via_A2C
timestamp,20250802_151322
