Episode,Reward
1,0.396973
2,16.865302
3,4.757731
4,3.677195
5,20.88803
6,-4.223707
7,-1.106676
8,6.288991
9,-4.346125
10,4.511356
11,23.645523
12,20.322906
13,12.400513
14,14.505331
15,11.10117
16,16.796941
17,3.73579
18,7.568584
19,18.413124
20,19.325748
21,11.277876
22,26.680612
23,4.468947
24,20.304839
25,6.321196
26,14.680911
27,33.663884
28,3.6929
29,23.185419
30,12.515897
31,-0.39181
32,40.677505
33,8.424532
34,11.005245
35,10.606356
36,14.804521
37,10.642915
38,11.266093
39,11.394684
40,10.510487
41,11.9172
42,13.622392
43,12.384646
44,17.612742
45,16.509837
46,20.741719
47,17.844197
48,17.834114
49,16.515929
50,16.849018
51,18.086001
52,17.655818
53,18.314507
54,16.836866
55,17.438684
56,16.997097
57,17.843561
58,18.517405
59,18.217756
60,17.772703
61,16.851311
62,18.300693
63,17.945032
64,17.387575
65,16.85274
66,17.771854
67,17.7991
68,17.508442
69,17.261556
70,16.697202
71,18.178598
72,17.611329
73,18.577623
74,18.542546
75,18.359689
76,18.42632
77,17.150093
78,16.40888
79,16.440425
80,17.478631
81,18.434288
82,15.9466
83,18.011975
84,17.857935
85,17.04631
86,16.422033
87,16.984462
88,18.590984
89,18.085616
90,16.105245
91,17.523118
92,17.640257
93,18.477901
94,17.489327
95,16.801627
96,18.839076
97,17.159141
98,18.890519
99,18.443716
100,18.378939
101,18.286395
102,16.702449
103,18.338462
104,18.990263
105,18.308636
106,16.460102
107,16.128449
108,18.584902
109,15.435076
110,17.397347
111,17.033812
112,18.220755
113,17.532197
114,17.060897
115,17.906788
116,16.035914
117,17.920197
118,18.19178
119,16.360396
120,18.350907
121,15.321025
122,15.765109
123,16.502894
124,17.558236
125,17.868022
126,17.285709
127,18.664103
128,15.971959
129,16.889738
130,16.251375
131,16.98955
132,19.032505
133,18.374788
134,18.054956
135,17.993867
136,18.73352
137,16.036687
138,16.412987
139,18.358736
140,16.676256
141,18.619758
142,18.131901
143,16.300974
144,17.427406
145,16.553071
146,18.156791
147,18.52004
148,17.12799
149,17.653759
150,16.189869
151,17.102984
152,17.164286
153,17.353205
154,16.936166
155,17.530494
156,17.957449
157,18.011413
158,18.38793
159,18.265964
160,17.683992
161,17.821268
162,18.426758
163,17.854547
164,18.205886
165,17.953332
166,18.378436
167,18.087853
168,16.657223
169,16.415222
170,16.390229
171,18.16742
172,17.996214
173,16.94657
174,18.570863
175,18.217389
176,18.192656
177,16.695824
178,17.946489
179,18.24438
180,18.11924
181,19.189831
182,16.629379
183,17.026552
184,18.129247
185,18.171473
186,18.343589
187,17.356553
188,17.778522
189,17.533243
190,17.322732
191,15.582432
192,17.972705
193,16.900515
194,18.026695
195,18.052624
196,18.563841
197,16.957036
198,18.517519
199,17.669238
200,18.718615
201,18.150462
202,16.164216
203,18.422905
204,15.733235
205,18.64634
206,17.740233
207,17.028058
208,16.469906
209,16.474751
210,18.338926
211,16.30964
212,17.156804
213,18.072574
214,15.682073
215,17.965268
216,18.184967
217,18.064607
218,18.081098
219,17.732338
220,17.612175
221,18.332569
222,15.690077
223,17.160875
224,18.505517
225,18.322778
226,18.295859
227,17.283518
228,18.192788
229,15.797817
230,17.418899
231,16.262107
232,16.221913
233,18.759258
234,17.614259
235,18.526501
236,17.662418
237,18.675827
238,17.548791
239,18.945207
240,18.38636
241,16.828618
242,18.689868
243,17.265839
244,18.236041
245,14.735434
246,16.397817
247,16.334644
248,17.750713
249,17.782086
250,18.483113
251,16.521326
252,18.445042
253,18.281703
254,18.344835
255,17.302822
256,16.439608
257,16.889629
258,18.494764
259,16.718436
260,17.515213
261,17.371227
262,18.212409
263,17.990562
264,18.226251
265,17.396963
266,19.042085
267,16.633678
268,15.399285
269,17.682868
270,18.067726
271,16.760057
272,17.951643
273,16.200587
274,17.955074
275,15.961962
276,17.187013
277,17.816386
278,16.423665
279,18.76966
280,16.123191
281,17.84506
282,18.430726
283,17.634996
284,17.925805
285,17.648009
286,15.929888
287,17.914197
288,17.98463
289,19.064869
290,18.447245
291,18.812801
292,17.962316
293,17.353298
294,16.833888
295,18.039954
296,16.712123
297,16.836218
298,17.095665
299,17.794251
300,17.377672
301,17.516942
302,18.510748
303,17.609281
304,18.475187
305,17.989546
306,16.768824
307,18.118076
308,18.34868
309,16.669033
310,17.986723
311,18.095611
312,18.755127
313,17.986811
314,18.194506
315,16.952112
316,17.002479
317,18.270521
